"childid","country","sex","enrolled","dropout","mother_edu","father_edu","ppvt_score","hhsize","region","typesite"
"IN050045","India",0,1,0,NA,-Inf,37,5,"21","2"
"IN050046","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN050047","India",1,1,0,NA,-Inf,36,5,"21","2"
"IN050048","India",1,1,0,NA,-Inf,39,4,"21","2"
"IN050049","India",0,1,0,NA,-Inf,39,4,"21","2"
"IN050050","India",1,1,0,NA,-Inf,28,4,"21","2"
"IN050051","India",1,1,0,NA,-Inf,38,4,"21","2"
"IN050052","India",1,1,0,NA,-Inf,NA,5,"21","2"
"IN050053","India",0,1,0,NA,-Inf,44,5,"21","2"
"IN050054","India",1,1,0,NA,-Inf,44,5,"21","2"
"IN050055","India",1,1,0,NA,-Inf,21,6,"21","2"
"IN050056","India",0,1,0,NA,-Inf,37,5,"21","2"
"IN050057","India",1,1,0,NA,-Inf,62,9,"21","2"
"IN050058","India",0,1,0,NA,-Inf,78,5,"21","2"
"IN050059","India",1,1,0,NA,-Inf,74,5,"21","2"
"IN050060","India",0,1,0,NA,-Inf,80,4,"21","2"
"IN050061","India",1,1,0,NA,-Inf,36,4,"21","2"
"IN050063","India",1,1,0,NA,-Inf,117,4,"23","1"
"IN050064","India",1,1,0,NA,-Inf,44,5,"21","2"
"IN050065","India",0,1,0,NA,-Inf,NA,5,"21","2"
"IN050066","India",1,1,0,NA,-Inf,50,5,"21","2"
"IN050067","India",1,1,0,NA,-Inf,35,4,"21","2"
"IN050068","India",1,1,0,NA,-Inf,76,4,"21","2"
"IN050069","India",0,1,0,NA,-Inf,36,5,"21","2"
"IN050070","India",1,1,0,NA,-Inf,32,4,"21","2"
"IN050071","India",0,1,0,NA,-Inf,105,4,"21","1"
"IN050072","India",1,1,0,NA,-Inf,37,6,"21","2"
"IN050073","India",0,1,0,NA,-Inf,45,5,"21","2"
"IN050074","India",1,1,0,NA,-Inf,36,4,"21","2"
"IN050075","India",0,1,0,NA,-Inf,71,8,"21","2"
"IN050076","India",0,1,0,NA,-Inf,79,4,"21","1"
"IN050077","India",1,1,0,NA,-Inf,47,4,"21","2"
"IN050078","India",1,1,0,NA,-Inf,34,7,"21","2"
"IN050079","India",1,1,0,NA,-Inf,38,8,"21","2"
"IN050080","India",0,1,0,NA,-Inf,38,4,"23","1"
"IN050081","India",1,1,0,NA,-Inf,49,4,"21","2"
"IN050082","India",0,1,0,NA,-Inf,38,3,"21","2"
"IN050083","India",1,1,0,NA,-Inf,36,6,"21","2"
"IN050084","India",0,1,0,NA,-Inf,33,5,"21","2"
"IN050085","India",0,1,0,NA,-Inf,39,4,"21","2"
"IN050086","India",0,1,0,NA,-Inf,50,5,"21","2"
"IN050087","India",0,1,0,NA,-Inf,39,6,"21","2"
"IN050088","India",1,1,0,NA,-Inf,41,5,"21","2"
"IN050089","India",1,1,0,NA,-Inf,31,8,"21","2"
"IN050090","India",0,1,0,NA,-Inf,62,5,"21","2"
"IN050091","India",0,1,0,NA,-Inf,33,16,"21","2"
"IN050092","India",1,1,0,NA,-Inf,31,4,"21","2"
"IN050093","India",0,1,0,NA,-Inf,32,6,"21","2"
"IN050094","India",1,1,0,NA,-Inf,48,4,"21","2"
"IN050095","India",1,1,0,NA,-Inf,15,4,"21","2"
"IN050096","India",1,1,0,NA,-Inf,33,4,"21","2"
"IN050097","India",1,1,0,NA,-Inf,63,4,"21","2"
"IN050098","India",0,1,0,NA,-Inf,43,11,"21","2"
"IN050099","India",0,1,0,NA,-Inf,25,6,"21","2"
"IN050100","India",0,1,0,NA,-Inf,38,4,"21","2"
"IN060001","India",0,1,0,NA,-Inf,NA,4,"21","2"
"IN060002","India",1,1,0,NA,-Inf,44,5,"21","2"
"IN060003","India",0,1,0,NA,-Inf,38,4,"21","2"
"IN060004","India",0,1,0,NA,-Inf,53,5,"21","2"
"IN060005","India",1,1,0,NA,-Inf,34,4,"21","2"
"IN060006","India",0,1,0,NA,-Inf,82,6,"21","2"
"IN060007","India",0,1,0,NA,-Inf,39,3,"21","2"
"IN060008","India",1,1,0,NA,-Inf,61,11,"21","2"
"IN060009","India",0,1,0,NA,-Inf,41,9,"21","2"
"IN060010","India",1,1,0,NA,-Inf,38,4,"77","77"
"IN060011","India",0,1,0,NA,-Inf,31,4,"21","2"
"IN060012","India",1,1,0,NA,-Inf,86,4,"23","2"
"IN060013","India",0,1,0,NA,-Inf,45,9,"21","2"
"IN060014","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN060015","India",0,1,0,NA,-Inf,39,5,"21","2"
"IN060016","India",0,1,0,NA,-Inf,79,12,"21","2"
"IN060017","India",0,1,0,NA,-Inf,90,4,"21","2"
"IN060018","India",1,1,0,NA,-Inf,39,4,"21","2"
"IN060019","India",0,1,0,NA,-Inf,39,5,"21","2"
"IN060020","India",0,1,0,NA,-Inf,39,5,"21","2"
"IN060021","India",0,1,0,NA,-Inf,45,8,"21","2"
"IN060022","India",1,1,0,NA,-Inf,53,4,"21","2"
"IN060023","India",0,1,0,NA,-Inf,32,6,"21","2"
"IN060024","India",0,1,0,NA,-Inf,75,5,"21","2"
"IN060025","India",0,1,0,NA,-Inf,148,9,"21","2"
"IN060026","India",1,1,0,NA,-Inf,39,8,"21","2"
"IN060027","India",1,1,0,NA,-Inf,38,6,"21","2"
"IN060028","India",1,1,0,NA,-Inf,66,3,"21","2"
"IN060029","India",1,1,0,NA,2,39,5,"21","2"
"IN060030","India",0,1,0,NA,-Inf,31,4,"21","2"
"IN060031","India",1,1,0,NA,-Inf,29,5,"21","2"
"IN060032","India",1,1,0,NA,-Inf,54,6,"21","2"
"IN060033","India",1,1,0,NA,-Inf,41,9,"21","2"
"IN060034","India",1,1,0,NA,-Inf,43,3,"21","2"
"IN060035","India",0,1,0,NA,-Inf,22,7,"21","2"
"IN060036","India",0,1,0,NA,-Inf,45,4,"21","2"
"IN060037","India",1,1,0,NA,-Inf,40,9,"21","2"
"IN060038","India",1,1,0,-Inf,-Inf,68,3,"21","2"
"IN060039","India",1,1,0,NA,-Inf,65,4,"21","2"
"IN060040","India",0,1,0,NA,-Inf,45,5,"21","2"
"IN060041","India",0,1,0,NA,-Inf,44,5,"21","2"
"IN060042","India",0,1,0,NA,-Inf,55,4,"21","2"
"IN060043","India",0,1,0,NA,-Inf,58,4,"21","2"
"IN060044","India",1,1,0,NA,-Inf,70,4,"21","2"
"IN060045","India",0,1,0,NA,-Inf,23,4,"21","2"
"IN060046","India",0,1,0,NA,-Inf,35,5,"21","2"
"IN060047","India",0,1,0,NA,-Inf,32,18,"21","2"
"IN060048","India",1,1,0,NA,-Inf,129,4,"21","2"
"IN060049","India",1,1,0,NA,-Inf,52,7,"21","2"
"IN060050","India",1,1,0,NA,-Inf,69,5,"21","2"
"IN060051","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN060052","India",0,1,0,NA,-Inf,105,6,"21","2"
"IN060053","India",0,1,0,NA,-Inf,40,4,"21","1"
"IN060054","India",0,1,0,NA,-Inf,38,4,"21","2"
"IN060055","India",0,1,0,NA,-Inf,26,5,"21","2"
"IN060056","India",0,1,0,NA,-Inf,31,4,"21","2"
"IN060057","India",0,1,0,NA,-Inf,29,4,"21","2"
"IN060058","India",0,1,0,NA,-Inf,37,2,"21","2"
"IN060059","India",1,1,0,NA,-Inf,35,4,"21","2"
"IN060060","India",0,1,0,NA,-Inf,37,4,"21","2"
"IN060061","India",1,1,0,NA,-Inf,36,5,"21","2"
"IN060062","India",1,1,0,NA,-Inf,70,8,"21","2"
"IN060063","India",0,1,0,NA,-Inf,39,8,"21","2"
"IN060064","India",1,1,0,NA,-Inf,40,5,"21","2"
"IN060065","India",1,1,0,NA,-Inf,72,5,"21","2"
"IN060066","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN060067","India",0,1,0,NA,-Inf,44,4,"21","2"
"IN060068","India",0,1,0,NA,-Inf,49,4,"21","2"
"IN060069","India",0,1,0,NA,-Inf,72,4,"21","2"
"IN060070","India",1,1,0,NA,-Inf,34,6,"21","2"
"IN060071","India",1,1,0,NA,-Inf,39,7,"21","2"
"IN060072","India",0,1,0,NA,-Inf,32,9,"21","2"
"IN060073","India",1,1,0,NA,-Inf,58,5,"21","2"
"IN060074","India",1,1,0,NA,-Inf,32,4,"21","2"
"IN060075","India",1,1,0,NA,-Inf,53,5,"21","2"
"IN060076","India",1,1,0,NA,-Inf,27,6,"21","2"
"IN060077","India",0,1,0,NA,-Inf,32,13,"21","2"
"IN060078","India",1,1,0,NA,-Inf,41,4,"21","2"
"IN060079","India",1,1,0,NA,-Inf,39,6,"21","2"
"IN060080","India",1,1,0,NA,-Inf,55,6,"21","2"
"IN060081","India",0,1,0,NA,-Inf,17,8,"21","2"
"IN060082","India",1,1,0,NA,-Inf,31,5,"21","2"
"IN060083","India",0,1,0,NA,-Inf,30,4,"21","2"
"IN060084","India",1,1,0,NA,-Inf,33,6,"21","2"
"IN060085","India",1,1,0,NA,-Inf,86,5,"21","2"
"IN060086","India",1,1,0,NA,-Inf,49,6,"21","2"
"IN060087","India",0,1,0,NA,-Inf,72,10,"21","2"
"IN060089","India",0,1,0,NA,-Inf,36,3,"21","2"
"IN060090","India",0,1,0,NA,-Inf,34,6,"21","2"
"IN060091","India",0,1,0,NA,-Inf,34,5,"21","2"
"IN060092","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN060093","India",1,1,0,NA,-Inf,34,5,"21","2"
"IN060094","India",1,1,0,NA,-Inf,33,4,"21","2"
"IN060096","India",1,1,0,NA,-Inf,30,5,"21","2"
"IN060097","India",0,1,0,NA,-Inf,54,4,"21","2"
"IN060098","India",1,1,0,NA,-Inf,71,6,"21","2"
"IN060099","India",1,1,0,NA,-Inf,45,5,"21","2"
"IN060100","India",1,1,0,NA,-Inf,39,6,"21","2"
"IN070001","India",1,1,0,NA,-Inf,134,5,"21","2"
"IN070002","India",1,1,0,NA,-Inf,46,4,"21","2"
"IN070003","India",1,1,0,NA,-Inf,54,7,"21","2"
"IN070004","India",1,1,0,NA,-Inf,105,6,"21","2"
"IN070005","India",1,1,0,NA,-Inf,64,8,"21","2"
"IN070006","India",0,1,0,NA,-Inf,53,4,"21","2"
"IN070007","India",0,1,0,NA,-Inf,47,6,"21","2"
"IN070008","India",1,1,0,NA,-Inf,120,4,"21","2"
"IN070009","India",0,1,0,NA,-Inf,43,5,"21","2"
"IN070010","India",1,1,0,NA,-Inf,53,6,"21","2"
"IN070011","India",1,1,0,NA,-Inf,66,4,"23","1"
"IN070012","India",0,1,0,NA,-Inf,22,4,"21","2"
"IN070013","India",1,1,0,NA,-Inf,41,5,"21","2"
"IN070014","India",0,1,0,NA,-Inf,33,3,"21","2"
"IN070015","India",1,1,0,NA,-Inf,44,3,"21","2"
"IN070016","India",0,1,0,NA,-Inf,30,2,"21","2"
"IN070017","India",1,1,0,NA,-Inf,33,4,"21","2"
"IN070018","India",1,NA,1,NA,-Inf,NA,7,"21","2"
"IN070019","India",1,1,0,NA,-Inf,23,2,"21","2"
"IN070020","India",1,1,0,NA,-Inf,37,4,"21","2"
"IN070021","India",0,1,0,NA,-Inf,35,5,"21","2"
"IN070022","India",0,1,0,NA,-Inf,31,5,"21","2"
"IN070023","India",0,1,0,NA,-Inf,40,5,"21","2"
"IN070024","India",1,1,0,NA,-Inf,41,5,"21","2"
"IN070025","India",1,1,0,NA,-Inf,41,5,"21","2"
"IN070026","India",1,1,0,NA,-Inf,45,5,"21","2"
"IN070027","India",0,1,0,NA,-Inf,59,4,"21","2"
"IN070028","India",0,1,0,NA,-Inf,49,5,"21","2"
"IN070029","India",0,1,0,NA,-Inf,56,4,"21","2"
"IN070030","India",0,1,0,NA,-Inf,36,3,"21","2"
"IN070031","India",1,1,0,NA,-Inf,47,5,"21","2"
"IN070032","India",1,NA,1,NA,-Inf,NA,5,"21","2"
"IN070033","India",0,1,0,NA,-Inf,42,4,"21","2"
"IN070034","India",1,1,0,NA,-Inf,59,4,"21","2"
"IN070035","India",1,1,0,NA,-Inf,46,6,"21","2"
"IN070036","India",1,1,0,NA,-Inf,71,6,"21","2"
"IN070038","India",1,1,0,NA,-Inf,79,7,"21","2"
"IN070039","India",0,1,0,NA,-Inf,55,5,"21","2"
"IN070040","India",0,1,0,-Inf,-Inf,25,4,"21","2"
"IN070041","India",0,1,0,NA,-Inf,48,5,"21","2"
"IN070042","India",0,1,0,NA,-Inf,44,5,"21","2"
"IN070043","India",0,1,0,NA,-Inf,25,4,"21","2"
"IN070045","India",0,1,0,NA,-Inf,40,3,"21","2"
"IN070046","India",0,1,0,NA,-Inf,35,5,"21","2"
"IN070047","India",0,1,0,NA,-Inf,31,5,"21","2"
"IN070048","India",1,1,0,NA,-Inf,31,7,"23","1"
"IN070049","India",0,1,0,NA,-Inf,25,4,"21","2"
"IN070050","India",0,1,0,NA,-Inf,49,3,"21","2"
"IN070051","India",1,1,0,NA,-Inf,38,5,"21","2"
"IN070052","India",1,1,0,NA,-Inf,128,4,"21","2"
"IN070053","India",0,1,0,NA,-Inf,35,2,"21","2"
"IN070054","India",0,1,0,NA,-Inf,136,6,"21","2"
"IN070055","India",0,1,0,NA,-Inf,109,4,"21","2"
"IN070056","India",1,1,0,NA,-Inf,77,4,"21","2"
"IN070057","India",0,1,0,NA,-Inf,97,3,"21","2"
"IN070058","India",0,1,0,NA,-Inf,34,5,"21","2"
"IN070059","India",1,1,0,NA,-Inf,98,5,"21","2"
"IN070060","India",0,1,0,2,-Inf,108,6,"21","2"
"IN070061","India",1,1,0,NA,-Inf,82,4,"21","2"
"IN070062","India",0,1,0,NA,-Inf,17,5,"21","2"
"IN070063","India",0,1,0,NA,-Inf,21,4,"21","2"
"IN070064","India",0,1,0,NA,-Inf,57,6,"21","2"
"IN070065","India",1,1,0,NA,-Inf,39,10,"21","2"
"IN070066","India",0,1,0,NA,-Inf,37,17,"21","2"
"IN070067","India",0,1,0,NA,-Inf,16,4,"21","2"
"IN070068","India",0,1,0,NA,-Inf,72,5,"21","2"
"IN070069","India",0,1,0,NA,-Inf,39,5,"21","2"
"IN070070","India",1,1,0,NA,-Inf,69,6,"21","2"
"IN070071","India",0,1,0,NA,-Inf,30,3,"21","2"
"IN070072","India",1,1,0,NA,-Inf,37,13,"21","2"
"IN070074","India",0,1,0,NA,-Inf,38,4,"21","2"
"IN070075","India",0,1,0,NA,-Inf,59,13,"21","2"
"IN070076","India",0,1,0,NA,-Inf,102,4,"21","2"
"IN070077","India",0,1,0,NA,-Inf,41,4,"21","2"
"IN070078","India",1,1,0,NA,-Inf,33,5,"21","2"
"IN070079","India",0,1,0,NA,-Inf,84,3,"23","1"
"IN070080","India",0,1,0,NA,-Inf,129,23,"21","2"
"IN070081","India",0,1,0,NA,-Inf,65,5,"21","2"
"IN070082","India",1,1,0,NA,-Inf,39,16,"21","2"
"IN070083","India",1,1,0,NA,-Inf,36,7,"21","2"
"IN070084","India",1,1,0,NA,-Inf,51,5,"21","2"
"IN070085","India",0,1,0,NA,-Inf,88,4,"21","2"
"IN070086","India",1,1,0,NA,-Inf,45,5,"21","2"
"IN070087","India",1,1,0,NA,-Inf,59,5,"21","2"
"IN070088","India",0,1,0,NA,-Inf,47,6,"21","2"
"IN070089","India",0,1,0,NA,-Inf,35,6,"21","2"
"IN070090","India",1,1,0,NA,-Inf,38,4,"21","2"
"IN070091","India",1,1,0,NA,-Inf,45,5,"21","2"
"IN070092","India",0,1,0,NA,-Inf,46,3,"21","2"
"IN070093","India",1,1,0,NA,-Inf,22,5,"21","2"
"IN070094","India",1,1,0,NA,-Inf,34,4,"21","2"
"IN070095","India",0,1,0,NA,-Inf,99,5,"21","2"
"IN070096","India",1,1,0,NA,-Inf,60,5,"21","2"
"IN070097","India",1,1,0,NA,-Inf,49,4,"21","2"
"IN070098","India",1,1,0,NA,-Inf,71,5,"21","1"
"IN070099","India",0,1,0,NA,-Inf,42,7,"21","2"
"IN070100","India",0,1,0,NA,-Inf,74,5,"21","2"
"IN080001","India",1,1,0,NA,-Inf,67,4,"22","2"
"IN080002","India",0,1,0,NA,-Inf,93,4,"22","2"
"IN080003","India",1,1,0,NA,-Inf,70,5,"22","2"
"IN080004","India",1,1,0,NA,-Inf,164,5,"22","2"
"IN080005","India",0,1,0,NA,-Inf,86,5,"22","2"
"IN080006","India",0,1,0,NA,-Inf,87,4,"22","2"
"IN080007","India",1,1,0,NA,-Inf,67,4,"22","2"
"IN080008","India",1,1,0,NA,-Inf,76,6,"22","1"
"IN080009","India",0,1,0,NA,-Inf,122,2,"22","2"
"IN080010","India",0,1,0,NA,-Inf,NA,5,"22","2"
"IN080011","India",0,1,0,NA,-Inf,130,5,"22","2"
"IN080012","India",0,1,0,NA,-Inf,90,4,"22","2"
"IN080013","India",0,1,0,NA,-Inf,35,6,"22","2"
"IN080014","India",0,1,0,NA,-Inf,78,5,"22","2"
"IN080015","India",0,1,0,NA,-Inf,32,6,"22","2"
"IN080016","India",1,1,0,NA,-Inf,115,4,"22","2"
"IN080017","India",1,1,0,NA,-Inf,90,4,"22","2"
"IN080018","India",0,1,0,NA,-Inf,47,5,"22","2"
"IN080019","India",1,1,0,NA,-Inf,186,10,"22","2"
"IN080020","India",1,1,0,NA,-Inf,74,4,"22","2"
"IN080021","India",0,1,0,NA,-Inf,52,5,"22","2"
"IN080022","India",0,1,0,NA,-Inf,43,4,"22","2"
"IN080023","India",0,1,0,NA,-Inf,60,6,"22","2"
"IN080024","India",0,1,0,NA,-Inf,45,3,"22","2"
"IN080025","India",1,1,0,-Inf,-Inf,153,6,"22","2"
"IN080026","India",1,1,0,NA,-Inf,NA,5,"22","2"
"IN080027","India",1,1,0,NA,-Inf,35,4,"22","1"
"IN080028","India",1,1,0,NA,-Inf,66,5,"22","2"
"IN080029","India",1,1,0,NA,-Inf,91,6,"22","2"
"IN080030","India",1,1,0,NA,-Inf,149,6,"22","2"
"IN080031","India",1,1,0,NA,-Inf,111,6,"22","2"
"IN080032","India",1,1,0,NA,-Inf,41,5,"22","1"
"IN080033","India",0,1,0,NA,-Inf,77,5,"22","2"
"IN080034","India",1,1,0,NA,-Inf,70,3,"22","2"
"IN080035","India",0,1,0,NA,-Inf,43,5,"22","2"
"IN080036","India",1,1,0,NA,-Inf,78,4,"22","2"
"IN080037","India",1,1,0,NA,-Inf,116,7,"22","2"
"IN080038","India",0,1,0,-Inf,-Inf,58,5,"22","2"
"IN080039","India",1,1,0,NA,-Inf,36,4,"22","2"
"IN080040","India",1,1,0,NA,-Inf,57,6,"22","2"
"IN080041","India",1,1,0,NA,-Inf,86,5,"22","2"
"IN080042","India",0,1,0,NA,-Inf,38,5,"22","2"
"IN080043","India",0,1,0,NA,-Inf,27,4,"22","2"
"IN080044","India",0,1,0,NA,-Inf,153,5,"22","2"
"IN080045","India",0,1,0,NA,-Inf,47,5,"22","2"
"IN080046","India",1,1,0,NA,-Inf,36,4,"22","2"
"IN080047","India",1,1,0,-Inf,-Inf,69,4,"22","2"
"IN080048","India",1,1,0,NA,-Inf,118,4,"22","2"
"IN080049","India",0,1,0,NA,-Inf,48,5,"22","2"
"IN080050","India",0,1,0,NA,-Inf,46,7,"22","2"
"IN080051","India",0,1,0,NA,-Inf,32,4,"22","2"
"IN080052","India",0,1,0,NA,-Inf,89,5,"22","2"
"IN080053","India",1,1,0,NA,-Inf,135,6,"22","2"
"IN080054","India",1,1,0,NA,-Inf,32,5,"22","2"
"IN080055","India",1,1,0,NA,-Inf,133,5,"22","2"
"IN080056","India",1,1,0,NA,-Inf,105,5,"22","2"
"IN080057","India",1,1,0,NA,-Inf,136,5,"22","2"
"IN080058","India",0,1,0,NA,-Inf,79,7,"22","2"
"IN080059","India",0,1,0,NA,-Inf,42,5,"22","2"
"IN080060","India",1,1,0,NA,-Inf,73,4,"22","2"
"IN080061","India",1,1,0,NA,-Inf,NA,5,"22","2"
"IN080062","India",0,1,0,NA,-Inf,38,5,"22","2"
"IN080063","India",0,1,0,NA,-Inf,72,4,"22","2"
"IN080064","India",0,1,0,NA,-Inf,40,4,"22","2"
"IN080065","India",1,1,0,NA,-Inf,38,5,"22","2"
"IN080066","India",1,1,0,NA,-Inf,101,7,"22","2"
"IN080067","India",0,1,0,NA,-Inf,34,4,"22","2"
"IN080068","India",1,1,0,NA,-Inf,126,9,"22","2"
"IN080069","India",0,1,0,-Inf,-Inf,43,5,"22","2"
"IN080070","India",1,1,0,NA,-Inf,104,7,"22","2"
"IN080071","India",1,1,0,-Inf,-Inf,52,4,"22","2"
"IN080072","India",1,1,0,NA,-Inf,84,5,"22","2"
"IN080073","India",0,1,0,NA,-Inf,36,5,"22","2"
"IN080074","India",0,0,1,NA,-Inf,NA,4,"22","2"
"IN080075","India",1,1,0,NA,-Inf,97,4,"22","2"
"IN080076","India",0,1,0,NA,-Inf,33,6,"22","2"
"IN080077","India",1,1,0,NA,-Inf,112,5,"22","1"
"IN080078","India",1,1,0,NA,-Inf,38,4,"22","2"
"IN080079","India",1,1,0,NA,-Inf,82,4,"22","2"
"IN080080","India",1,1,0,NA,-Inf,66,4,"22","2"
"IN080081","India",1,1,0,NA,-Inf,54,6,"22","2"
"IN080082","India",1,1,0,NA,-Inf,154,4,"22","2"
"IN080083","India",1,1,0,NA,-Inf,45,5,"22","2"
"IN080084","India",1,1,0,NA,-Inf,142,4,"22","2"
"IN080085","India",1,1,0,NA,-Inf,82,4,"22","2"
"IN080086","India",0,1,0,NA,-Inf,46,4,"22","2"
"IN080087","India",0,1,0,NA,-Inf,74,5,"22","2"
"IN080088","India",0,1,0,NA,-Inf,106,5,"22","2"
"IN080089","India",0,1,0,NA,-Inf,39,4,"22","2"
"IN080090","India",0,1,0,-Inf,-Inf,79,4,"22","2"
"IN080091","India",1,1,0,NA,-Inf,111,6,"22","2"
"IN080092","India",0,1,0,NA,-Inf,45,5,"22","2"
"IN080093","India",0,1,0,NA,-Inf,97,5,"22","2"
"IN080094","India",1,1,0,NA,-Inf,59,6,"22","2"
"IN080095","India",0,1,0,NA,-Inf,94,6,"22","2"
"IN080096","India",1,1,0,NA,-Inf,58,10,"22","2"
"IN080097","India",0,1,0,NA,-Inf,43,6,"22","2"
"IN080099","India",1,1,0,NA,-Inf,55,5,"22","2"
"IN080100","India",0,1,0,NA,-Inf,80,6,"22","2"
"IN090001","India",1,1,0,NA,-Inf,50,6,"22","2"
"IN090002","India",1,1,0,NA,-Inf,85,3,"22","2"
"IN090003","India",1,1,0,NA,-Inf,43,11,"22","2"
"IN090004","India",0,1,0,NA,-Inf,48,4,"21","1"
"IN090005","India",1,1,0,NA,-Inf,70,4,"22","2"
"IN090006","India",1,1,0,NA,-Inf,93,4,"22","2"
"IN090007","India",0,1,0,NA,-Inf,63,4,"22","2"
"IN090008","India",0,1,0,NA,-Inf,29,16,"22","2"
"IN090009","India",1,1,0,NA,-Inf,36,6,"22","2"
"IN090010","India",1,1,0,NA,-Inf,58,9,"22","2"
"IN090011","India",1,1,0,NA,-Inf,96,4,"22","2"
"IN090012","India",0,1,0,NA,-Inf,37,5,"22","2"
"IN090013","India",1,1,0,NA,-Inf,42,7,"22","2"
"IN090014","India",0,1,0,NA,-Inf,49,5,"22","2"
"IN090015","India",0,1,0,NA,-Inf,48,3,"22","2"
"IN090016","India",1,1,0,NA,-Inf,32,5,"22","2"
"IN090017","India",1,1,0,NA,-Inf,43,6,"22","2"
"IN090018","India",0,1,0,NA,-Inf,44,4,"22","2"
"IN090019","India",1,1,0,NA,-Inf,52,6,"22","2"
"IN090020","India",0,1,0,NA,-Inf,54,6,"22","2"
"IN090021","India",1,1,0,NA,-Inf,49,5,"22","2"
"IN090022","India",1,1,0,NA,-Inf,53,5,"22","2"
"IN090023","India",1,1,0,NA,-Inf,49,6,"22","2"
"IN090024","India",1,1,0,NA,-Inf,39,10,"22","2"
"IN090025","India",0,1,0,NA,-Inf,50,6,"22","2"
"IN090026","India",1,1,0,NA,-Inf,44,9,"22","2"
"IN090027","India",1,1,0,NA,-Inf,73,7,"22","2"
"IN090028","India",0,1,0,NA,-Inf,71,9,"22","2"
"IN090029","India",0,1,0,NA,-Inf,41,10,"22","2"
"IN090030","India",0,1,0,NA,-Inf,71,15,"22","2"
"IN090031","India",0,1,0,NA,-Inf,70,7,"22","2"
"IN090032","India",0,1,0,NA,-Inf,49,6,"22","2"
"IN090033","India",0,1,0,NA,-Inf,40,3,"22","2"
"IN090034","India",1,1,0,NA,-Inf,63,7,"22","2"
"IN090035","India",0,1,0,NA,-Inf,111,6,"22","2"
"IN090036","India",0,1,0,NA,-Inf,50,3,"22","2"
"IN090037","India",0,1,0,NA,-Inf,42,8,"22","2"
"IN090038","India",1,1,0,NA,-Inf,46,4,"22","2"
"IN090039","India",0,1,0,NA,-Inf,45,4,"22","2"
"IN090040","India",0,1,0,NA,-Inf,39,5,"22","2"
"IN090041","India",0,1,0,NA,-Inf,152,6,"22","2"
"IN090042","India",1,1,0,NA,-Inf,37,5,"22","2"
"IN090043","India",1,1,0,NA,-Inf,158,4,"22","2"
"IN090044","India",1,1,0,NA,-Inf,105,2,"22","2"
"IN090045","India",1,1,0,NA,-Inf,45,5,"22","2"
"IN090046","India",0,1,0,NA,-Inf,53,5,"22","2"
"IN090047","India",0,1,0,NA,-Inf,57,5,"22","2"
"IN090049","India",1,1,0,NA,-Inf,172,10,"22","2"
"IN090050","India",1,1,0,NA,-Inf,104,6,"22","1"
"IN090051","India",1,1,0,NA,-Inf,49,11,"22","2"
"IN090052","India",1,1,0,NA,-Inf,27,3,"22","2"
"IN090053","India",1,1,0,NA,-Inf,57,7,"22","2"
"IN090054","India",0,1,0,NA,-Inf,46,6,"22","2"
"IN090055","India",1,1,0,-Inf,-Inf,77,5,"22","2"
"IN090057","India",1,1,0,NA,-Inf,147,7,"22","2"
"IN090058","India",0,1,0,NA,-Inf,NA,5,"22","2"
"IN090059","India",0,1,0,NA,-Inf,33,3,"22","2"
"IN090060","India",0,1,0,NA,-Inf,36,3,"22","2"
"IN090061","India",1,1,0,NA,-Inf,39,4,"22","2"
"IN090062","India",0,1,0,NA,-Inf,75,5,"22","2"
"IN090063","India",1,1,0,NA,-Inf,180,4,"22","2"
"IN090064","India",1,1,0,NA,-Inf,111,4,"22","2"
"IN090065","India",0,1,0,NA,-Inf,41,5,"22","2"
"IN090066","India",NA,NA,1,NA,-Inf,NA,4,"22","2"
"IN090067","India",1,1,0,NA,-Inf,86,6,"22","2"
"IN090068","India",1,1,0,NA,-Inf,69,4,"22","2"
"IN090069","India",0,1,0,NA,-Inf,45,5,"22","2"
"IN090071","India",1,1,0,NA,-Inf,81,5,"22","2"
"IN090072","India",1,1,0,NA,-Inf,138,6,"22","2"
"IN090073","India",0,1,0,NA,-Inf,41,6,"22","2"
"IN090074","India",0,1,0,NA,-Inf,34,5,"22","2"
"IN090075","India",0,1,0,NA,-Inf,84,5,"22","2"
"IN090076","India",0,1,0,NA,-Inf,90,6,"22","2"
"IN090077","India",1,1,0,NA,-Inf,81,3,"22","2"
"IN090078","India",0,1,0,NA,-Inf,36,10,"22","2"
"IN090079","India",0,1,0,NA,-Inf,53,5,"22","2"
"IN090080","India",0,1,0,NA,-Inf,48,4,"22","2"
"IN090081","India",0,1,0,NA,-Inf,46,5,"22","2"
"IN090082","India",0,1,0,NA,-Inf,54,4,"22","2"
"IN090083","India",1,1,0,NA,-Inf,97,4,"22","2"
"IN090084","India",1,1,0,NA,-Inf,66,5,"22","2"
"IN090085","India",1,1,0,NA,-Inf,27,5,"22","2"
"IN090086","India",1,1,0,NA,-Inf,61,7,"22","2"
"IN090087","India",0,1,0,NA,-Inf,46,2,"22","2"
"IN090088","India",1,1,0,NA,-Inf,94,4,"22","2"
"IN090089","India",1,1,0,NA,-Inf,97,7,"22","2"
