"childid","country","sex","enrolled","dropout","mother_edu","father_edu","ppvt_score","hhsize","region","typesite"
"IN020001","India",0,0,1,NA,-Inf,30,7,"21","2"
"IN020002","India",0,1,0,NA,-Inf,67,6,"21","2"
"IN020003","India",1,1,0,NA,-Inf,35,10,"21","2"
"IN020004","India",1,1,0,NA,-Inf,55,5,"21","2"
"IN020005","India",0,1,0,NA,-Inf,72,4,"21","2"
"IN020006","India",1,1,0,NA,-Inf,60,4,"21","2"
"IN020007","India",0,1,0,NA,-Inf,43,5,"21","2"
"IN020008","India",1,1,0,NA,-Inf,35,6,"21","2"
"IN020009","India",1,1,0,NA,-Inf,27,4,"21","2"
"IN020010","India",1,1,0,NA,-Inf,38,6,"21","2"
"IN020011","India",0,1,0,NA,-Inf,41,7,"21","2"
"IN020014","India",1,1,0,NA,-Inf,57,10,"21","2"
"IN020015","India",1,1,0,NA,-Inf,45,6,"21","2"
"IN020016","India",0,1,0,NA,-Inf,64,4,"21","2"
"IN020017","India",0,1,0,NA,-Inf,32,4,"21","2"
"IN020018","India",1,1,0,NA,-Inf,46,5,"21","2"
"IN020019","India",1,1,0,NA,-Inf,33,4,"21","2"
"IN020020","India",1,1,0,NA,-Inf,39,3,"21","2"
"IN020021","India",1,1,0,NA,-Inf,98,3,"21","2"
"IN020022","India",0,1,0,NA,-Inf,55,5,"21","2"
"IN020023","India",0,1,0,NA,-Inf,40,5,"21","2"
"IN020024","India",0,1,0,NA,-Inf,147,5,"21","2"
"IN020025","India",1,1,0,NA,-Inf,67,4,"21","2"
"IN020026","India",1,1,0,NA,NA,34,8,"21","2"
"IN020027","India",0,1,0,NA,-Inf,94,3,"21","2"
"IN020028","India",1,1,0,NA,-Inf,63,4,"21","2"
"IN020029","India",0,1,0,NA,-Inf,34,4,"21","2"
"IN020030","India",1,1,0,NA,-Inf,40,4,"21","2"
"IN020031","India",1,1,0,NA,-Inf,82,5,"21","2"
"IN020032","India",1,1,0,NA,-Inf,43,4,"21","2"
"IN020033","India",1,1,0,NA,-Inf,36,5,"21","2"
"IN020034","India",1,1,0,NA,-Inf,114,4,"21","2"
"IN020035","India",0,1,0,NA,-Inf,44,4,"21","2"
"IN020036","India",1,1,0,NA,-Inf,120,4,"21","2"
"IN020037","India",0,1,0,NA,-Inf,76,6,"21","2"
"IN020038","India",1,1,0,NA,-Inf,142,5,"21","2"
"IN020039","India",0,1,0,NA,-Inf,115,6,"21","2"
"IN020040","India",1,1,0,NA,-Inf,98,4,"21","2"
"IN020041","India",1,1,0,NA,-Inf,112,4,"21","2"
"IN020042","India",1,1,0,NA,-Inf,72,4,"21","2"
"IN020043","India",1,1,0,NA,-Inf,78,10,"21","2"
"IN020044","India",0,1,0,NA,-Inf,50,6,"21","2"
"IN020045","India",0,1,0,NA,-Inf,69,4,"21","2"
"IN020046","India",1,1,0,NA,-Inf,63,4,"21","2"
"IN020047","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN020048","India",0,1,0,NA,-Inf,78,5,"21","2"
"IN020049","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN020050","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN020051","India",1,1,0,NA,-Inf,65,5,"21","2"
"IN020052","India",0,1,0,NA,-Inf,66,6,"21","2"
"IN020053","India",0,1,0,NA,-Inf,55,4,"21","2"
"IN020054","India",0,1,0,NA,-Inf,32,4,"21","2"
"IN020055","India",1,1,0,NA,-Inf,38,3,"21","2"
"IN020056","India",1,1,0,NA,-Inf,68,4,"21","2"
"IN020057","India",1,1,0,NA,-Inf,76,6,"21","2"
"IN020058","India",0,1,0,-Inf,-Inf,40,4,"21","2"
"IN020059","India",1,1,0,NA,-Inf,37,4,"21","2"
"IN020060","India",1,1,0,NA,-Inf,60,2,"21","1"
"IN020061","India",0,1,0,NA,-Inf,37,5,"21","2"
"IN020062","India",1,1,0,NA,-Inf,53,4,"21","2"
"IN020063","India",1,1,0,NA,-Inf,33,5,"21","2"
"IN020064","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN020065","India",0,1,0,NA,-Inf,30,4,"21","2"
"IN020066","India",0,1,0,NA,-Inf,78,5,"21","2"
"IN020067","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN020068","India",1,1,0,NA,-Inf,40,4,"21","2"
"IN020069","India",0,1,0,NA,-Inf,45,3,"21","2"
"IN020070","India",0,1,0,NA,-Inf,39,5,"21","2"
"IN020071","India",1,1,0,NA,-Inf,69,3,"21","2"
"IN020072","India",0,1,0,NA,-Inf,102,4,"21","2"
"IN020073","India",0,1,0,NA,-Inf,74,4,"21","2"
"IN020074","India",1,1,0,NA,-Inf,62,6,"21","2"
"IN020075","India",1,1,0,NA,-Inf,40,2,"21","2"
"IN020076","India",1,1,0,NA,-Inf,128,5,"21","2"
"IN020078","India",1,1,0,NA,-Inf,48,4,"21","2"
"IN020079","India",1,1,0,NA,-Inf,37,4,"21","2"
"IN020080","India",0,1,0,NA,-Inf,27,5,"21","2"
"IN020081","India",1,1,0,NA,-Inf,50,4,"21","2"
